# v	kana	romanization

っと	x:ja-Hir+Latn	tto
っぱ	x:ja-Hir+Latn	ppa
っぽ	x:ja-Hir+Latn	ppo
つ	x:ja-Hir+Latn	tsu
づ	x:ja-Hir+Latn	zu
て	x:ja-Hir+Latn	te
で	x:ja-Hir+Latn	de
と	x:ja-Hir+Latn	to
ど	x:ja-Hir+Latn	do
な	x:ja-Hir+Latn	na
に	x:ja-Hir+Latn	ni
にょ	x:ja-Hir+Latn	nyo
ぬ	x:ja-Hir+Latn	nu
ね	x:ja-Hir+Latn	ne
の	x:ja-Hir+Latn	no
は	x:ja-Hir+Latn	ha
ば	x:ja-Hir+Latn	ba
ぱ	x:ja-Hir+Latn	pa
ひ	x:ja-Hir+Latn	hi
ひょ	x:ja-Hir+Latn	hyo
び	x:ja-Hir+Latn	bi
びょ	x:ja-Hir+Latn	byo
ふ	x:ja-Hir+Latn	fu
ぶ	x:ja-Hir+Latn	bu
ぷ	x:ja-Hir+Latn	po
へ	x:ja-Hir+Latn	ma
べ	x:ja-Hir+Latn	mi
ほ	x:ja-Hir+Latn	mya
ぼ	x:ja-Hir+Latn	myu
ぽ	x:ja-Hir+Latn	myo
ま	x:ja-Hir+Latn	ma
み	x:ja-Hir+Latn	mi
む	x:ja-Hir+Latn	mu
め	x:ja-Hir+Latn	me
も	x:ja-Hir+Latn	mo
ゃ	x:ja-Hir+Latn	ya
や	x:ja-Hir+Latn	ya
ゆ	x:ja-Hir+Latn	yu
よ	x:ja-Hir+Latn	yo
ら	x:ja-Hir+Latn	ra
り	x:ja-Hir+Latn	ri
りゃ	x:ja-Hir+Latn	rya
る	x:ja-Hir+Latn	ru
れ	x:ja-Hir+Latn	re
ろ	x:ja-Hir+Latn	ro
わ	x:ja-Hir+Latn	wa
を	x:ja-Hir+Latn	wo
ん	x:ja-Hir+Latn	n








